date,close,volume,open,high,low
'2017/06/21',143.2900,30893320.0000,138.8200,143.5000,138.0200
'2017/06/20',138.3800,19974660.0000,140.0800,140.6300,137.9300
'2017/06/19',139.4700,24921200.0000,137.8100,140.4000,137.4000
'2017/06/16',134.8700,36327490.0000,136.2800,136.5000,133.5500
'2017/06/15',135.0800,30498630.0000,135.6400,135.6700,133.1000
'2017/06/14',136.6700,32828070.0000,137.8000,139.2500,135.2600
'2017/06/13',136.6000,40858290.0000,141.8800,142.2440,135.9000
'2017/06/12',139.0800,32160830.0000,139.1700,142.2000,136.0500
'2017/06/09',139.4400,54344790.0000,144.5700,148.2900,137.0100
'2017/06/08',142.3400,81317190.0000,142.5100,143.7000,135.2100
'2017/06/07',125.6400,9429288.0000,125.0800,125.9100,124.1100
'2017/06/06',124.6200,9249509.0000,125.6100,126.2000,124.2700
'2017/06/05',125.3700,10027960.0000,124.0200,125.5600,123.8700
'2017/06/02',124.1300,7341037.0000,123.7200,124.5300,123.2400
'2017/06/01',123.9700,8894392.0000,122.8200,124.0000,122.2600
'2017/05/31',122.4600,11580420.0000,123.6400,124.1753,122.0000
'2017/05/30',123.9100,8335992.0000,124.0800,124.8800,123.5300
'2017/05/26',123.9900,7555771.0000,123.9300,124.6500,123.1000
'2017/05/25',123.6300,12478840.0000,123.7400,124.4500,122.3100
'2017/05/24',122.8100,8370763.0000,123.0700,123.6840,121.9500
'2017/05/23',122.9300,14353420.0000,124.6700,125.6750,122.8500
'2017/05/22',124.7500,13479320.0000,124.9800,125.5900,123.5550
'2017/05/19',123.2200,21049110.0000,123.9600,126.4000,123.0700
'2017/05/18',121.2700,37098420.0000,116.3100,122.6300,114.0000
'2017/05/17',120.7200,19770550.0000,123.2500,123.8900,120.5000
'2017/05/16',124.0200,18143610.0000,121.9800,124.3400,121.7400
'2017/05/15',121.4000,11112300.0000,121.0300,121.4900,120.0310
'2017/05/12',120.3400,9814886.0000,120.3700,120.4677,119.5100
'2017/05/11',120.1600,11347940.0000,120.1300,120.5000,118.2500
'2017/05/10',119.9800,9338224.0000,120.0100,120.3300,119.1000
'2017/05/09',120.0000,15194460.0000,118.6200,120.0000,118.0700
'2017/05/08',116.8600,6460771.0000,116.9000,117.5100,116.2000
'2017/05/05',116.0400,7088097.0000,116.0500,116.1500,114.8000
'2017/05/04',115.8600,6977683.0000,115.9400,116.4100,115.1500
'2017/05/03',116.5700,10587910.0000,117.9500,118.0000,115.1200
'2017/05/02',118.0900,10032340.0000,117.0700,118.6900,117.0000
'2017/05/01',116.6800,7312691.0000,115.6300,117.2400,115.5000
'2017/04/28',115.5000,6981258.0000,115.9000,115.9900,115.0000
'2017/04/27',115.4300,9435857.0000,115.0000,115.9600,114.8300
'2017/04/26',114.9700,6674081.0000,115.3700,115.7500,114.6223
'2017/04/25',115.4800,11332290.0000,115.5400,115.8200,114.8000
'2017/04/24',114.8600,13417020.0000,114.0400,115.1600,114.0200
'2017/04/21',113.1100,8960952.0000,112.8000,113.1700,112.3000
'2017/04/20',112.9600,13771690.0000,111.5300,113.6000,111.4800
'2017/04/19',110.7600,9595884.0000,111.9900,112.2000,110.5700
'2017/04/18',111.2300,8297300.0000,111.2000,112.2000,110.8674
'2017/04/17',111.7600,7111117.0000,110.9100,111.8700,110.3000
'2017/04/13',110.2100,6854470.0000,110.7200,111.4500,109.8200
'2017/04/12',110.6300,8097064.0000,110.5000,111.7000,110.3100
'2017/04/11',110.4400,10010850.0000,111.4000,111.7900,109.4600
'2017/04/10',111.7000,14796220.0000,109.0000,111.8800,108.8400
'2017/04/07',108.9900,8341495.0000,107.8800,109.0700,106.7600
'2017/04/06',108.0400,5201954.0000,107.5900,108.4200,107.1500
'2017/04/05',107.4400,8187964.0000,108.3600,108.8200,107.3200
'2017/04/04',107.5200,6477898.0000,107.8700,108.2600,106.8800
'2017/04/03',108.0900,7783911.0000,108.8500,109.4700,107.5200
'2017/03/31',107.8300,8994726.0000,108.5000,109.1186,107.7800
'2017/03/30',108.8500,10587160.0000,109.7290,110.4500,108.6600
'2017/03/29',109.5100,8784547.0000,107.9700,109.7400,107.6900
'2017/03/28',107.8000,6467098.0000,108.2300,108.9500,107.4601
'2017/03/27',108.0800,7699358.0000,106.6500,108.1900,106.5100
'2017/03/24',108.0400,7572922.0000,108.4000,109.1300,107.2300
'2017/03/23',108.2500,13398120.0000,106.9500,108.8300,106.4400
'2017/03/22',106.0900,7144945.0000,104.6400,106.1200,103.9800
'2017/03/21',105.0900,13868960.0000,108.4600,108.7000,104.7000
'2017/03/20',107.2500,12447930.0000,106.2300,108.2000,105.9400
'2017/03/17',105.6100,8760765.0000,105.1700,106.5000,104.8600
'2017/03/16',105.6300,12313540.0000,105.2500,105.6500,104.3010
'2017/03/15',103.6900,11670640.0000,104.3700,104.4900,102.6000
'2017/03/14',104.2500,7746539.0000,104.6100,106.0000,103.8221
'2017/03/13',105.1800,16103740.0000,103.5200,106.2500,103.4700
'2017/03/10',103.3900,4113497.0000,103.4300,103.7000,102.6300
'2017/03/09',103.2400,4521801.0000,102.9700,103.7500,102.7600
'2017/03/08',103.2200,7064946.0000,102.6300,104.2900,102.5400
'2017/03/07',102.6300,4980492.0000,102.3000,103.3078,102.1100
'2017/03/06',102.3100,6271374.0000,102.7600,103.2500,102.1000
'2017/03/03',103.3100,6313293.0000,102.9900,103.4200,102.4400
'2017/03/02',103.1900,7970738.0000,103.8000,104.5800,102.7700
'2017/03/01',104.0400,10324960.0000,103.6800,104.9900,103.2100
'2017/02/28',102.9000,8007397.0000,103.8900,103.9900,102.0300
'2017/02/27',103.6000,6860807.0000,102.5000,103.8250,102.2201
'2017/02/24',102.9500,7356362.0000,101.3900,103.0000,101.3000
'2017/02/23',102.4600,10088960.0000,104.7200,104.8600,101.8200
'2017/02/22',104.2000,15772600.0000,102.4800,105.2000,102.4200
'2017/02/21',102.1200,8179989.0000,101.0300,102.5400,100.9100
'2017/02/17',100.5200,8237860.0000,100.6900,101.7300,100.3000
'2017/02/16',100.8200,7457191.0000,101.8600,102.1000,100.5000
'2017/02/15',101.5500,12379520.0000,102.0600,102.1300,100.1100
'2017/02/14',101.5900,10229280.0000,103.1400,103.6000,100.8960
'2017/02/13',103.1000,9722892.0000,102.8200,104.4400,102.6200
'2017/02/10',102.3600,7675084.0000,103.8800,103.9400,102.3100
'2017/02/09',103.3400,8421821.0000,103.3250,104.1800,102.5600
'2017/02/08',103.5700,10169200.0000,101.5500,103.9900,101.1600
'2017/02/07',100.8300,5647856.0000,101.0400,101.6000,100.5000
'2017/02/06',100.9000,6784375.0000,100.1700,101.7060,100.0200
'2017/02/03',100.3900,6184364.0000,101.5000,101.5600,100.3000
'2017/02/02',100.8400,5363044.0000,101.2800,101.4700,100.5600
'2017/02/01',101.5700,5726905.0000,102.0700,102.3800,100.8700
'2017/01/31',101.3100,7522294.0000,100.2400,102.0900,100.0600
'2017/01/30',101.0200,8611044.0000,101.2000,101.4600,100.0900
'2017/01/27',102.0700,8028976.0000,102.2500,102.7000,101.2900
'2017/01/26',102.7500,12500030.0000,103.9200,104.5700,102.1700
'2017/01/25',104.0600,23306790.0000,102.4600,104.2700,101.9000
'2017/01/24',101.4300,37142250.0000,103.1500,103.1900,99.9400
'2017/01/23',98.4100,13997100.0000,96.4800,98.6700,96.2600
'2017/01/20',96.0600,9652714.0000,96.4500,97.1500,95.6707
'2017/01/19',96.1700,7085970.0000,96.4200,96.7000,95.5800
'2017/01/18',96.0000,6587018.0000,96.2700,96.2700,95.2600
'2017/01/17',96.1200,6340299.0000,96.3200,96.5900,95.0000
'2017/01/13',96.2700,10687930.0000,95.9500,97.3800,95.7600
'2017/01/12',95.9000,8412007.0000,96.8500,96.8500,94.8000
'2017/01/11',96.9400,8723400.0000,96.9200,97.4500,95.6000
'2017/01/10',96.7500,14759640.0000,96.4000,97.9040,95.5500
'2017/01/09',94.7200,10817620.0000,94.1600,95.6500,93.3100
'2017/01/06',93.8900,7597513.0000,94.4000,94.5000,93.0000
'2017/01/05',94.3700,16787830.0000,91.9100,94.8100,91.6400
'2017/01/04',90.5100,11462690.0000,88.9850,90.8900,88.5800
'2017/01/03',88.6000,8786988.0000,89.0000,89.0000,88.0800
'2016/12/30',87.8100,7208711.0000,87.5700,88.1000,87.2000
'2016/12/29',87.3300,5465067.0000,87.8200,88.2000,87.1600
'2016/12/28',87.3700,6413099.0000,88.3000,88.7500,87.2200
'2016/12/27',87.5400,5215202.0000,86.7200,87.9400,86.7100
'2016/12/23',86.7900,6358390.0000,86.6200,87.6800,86.6200
'2016/12/22',86.8000,14368590.0000,87.8900,88.2600,86.0100
'2016/12/21',89.2500,9021352.0000,89.9600,90.4300,89.2500
'2016/12/20',89.8400,8424608.0000,89.1900,90.3100,88.9400
'2016/12/19',88.9300,10206940.0000,88.6100,89.8200,88.4100
'2016/12/16',88.6700,11322450.0000,89.0000,90.1000,88.5600
'2016/12/15',88.8500,19170560.0000,90.0000,90.6000,88.7400
'2016/12/14',91.1900,9148677.0000,91.8300,92.2600,90.8300
'2016/12/13',92.1600,10450390.0000,92.8000,93.7300,91.8700
